ITEM,MATERIAL,DESCRIPTION,"Supplier Price
July 2025",Supplier Price Sep 2025,MARKUP %,,CX PRICE with markup,UNIT,SUPPLIER,MATERIAL TYPE,NOTES
,,"2x4""-12' PT",$8.19,$8.19,15.00%,,$9.42,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x4""-14' PT",$11.69,$10.99,15.00%,,$12.64,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x4""-16' PT",$13.50,$11.89,15.00%,,$13.67,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x6""-8' PT",$8.50,$8.99,15.00%,,$10.34,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x6""-10' PT",$11.69,$10.99,15.00%,,$12.64,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x6""-12' PT",$12.50,$13.50,15.00%,,$15.53,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x6""-14' PT",$13.69,$14.69,15.00%,,$16.89,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x6""-16' PT",$15.50,$15.69,15.00%,,$18.04,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x8""-8' PT",$11.69,$11.89,15.00%,,$13.67,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x8""-10' PT",$14.50,$15.69,15.00%,,$18.04,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x8""-12' PT",$15.50,$16.89,15.00%,,$19.42,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x8""-14' PT",$17.69,$18.50,15.00%,,$21.28,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x8""-16' PT",$20.99,$22.69,15.00%,,$26.09,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x10""-8' PT",$14.50,$14.69,15.00%,,$16.89,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x10""-10' PT",$16.69,$16.89,15.00%,,$19.42,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x10""-12' PT",$22.50,$23.50,15.00%,,$27.03,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x10""-14' PT",$23.89,$23.69,15.00%,,$27.24,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x10""-16' PT",$28.89,$28.69,15.00%,,$32.99,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x12""-8' PT",$17.89,$18.50,15.00%,,$21.28,pcs,Builders First Source BFS Group LLC,PT Lumber,
