,,,DESCRIPTION,QTY,Supplier Price,MARKUP %,,CX PRICE with markup,UNIT,SUPPLIER,MATERIAL TYPE,NOTES,LINK,TIMESTAMP
,,,"6x6""-8' PT",-,$22.97,28.00%,,$29.40,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"6x6""-10' PT",-,$31.47,28.00%,,$40.28,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"6x6""-12' PT",-,$32.33,28.00%,,$41.38,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"6x6""-14' PT",-,$42.97,28.00%,,$55.00,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"6x6""-16' PT",-,$45.50,28.00%,,$58.25,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,RIMBOARD,OSB Rimboard,"9-1/2""-1' OSB Rimboard",-,$2.66,15.00%,,$3.06,lf,Concord,OSB Rimboard,,,
,,,"11-7/8""-1' OSB Rimboard",-,$3.21,15.00%,,$3.69,lf,Concord,OSB Rimboard,,,
,,,"14""-1' OSB Rimboard",-,$3.92,15.00%,,$4.51,lf,Concord,OSB Rimboard,,,
,,,"16""-1' OSB Rimboard",-,$4.83,15.00%,,$5.55,lf,Concord,OSB Rimboard,,,
,,LSL Rimboard,"1-1/4x5-1/2"" LSL Rimboard",-,$3.26,15.00%,,$3.75,lf,Concord,LSL Lumber,,,
,,,"1-1/4x9-1/2"" LSL Rimboard",-,$5.75,15.00%,,$6.61,lf,Concord,LSL Lumber,Fixed Price,4.168333333,
,,,"1-1/4x11-7/8"" LSL Rimboard",-,$7.90,15.00%,,$9.09,lf,Concord,LSL Lumber,,$0.67,
,,,"1-1/4x14"" LSL Rimboard",-,$0.53,15.00%,,$0.61,lf,Concord,LSL Lumber,,$0.04,
,,,"1-1/4x16"" LSL Rimboard",-,$0.56,15.00%,,$0.65,lf,Concord,LSL Lumber,,$0.04,
,,,"1-1/4x18"" LSL Rimboard",-,$10.89,15.00%,,$12.52,lf,Concord,LSL Lumber,Fixed Price,$0.60,
,,,"1-1/4x20"" LSL Rimboard",-,$12.10,15.00%,,$13.91,lf,Concord,LSL Lumber,,$0.60,
,"""LVL LAM VENNER LUMBER / 2.0E PSL BEAMS",LVL Beams,"1-3/4x14""-16' LVL PT",-,$330.40,20.00%,,$396.48,pcs,PRODeckSupply,PT Lumber,,https://prodeckmn.com/products/pwt-treated-lvls-1-1-2x14?variant=46756240621859,
,,,"1-3/4x5-1/2"" LVL",-,$0.00,20.00%,,$0.00,lf,HardPine,LVL Lumber,,,
,,,"1-3/4x7-1/2"" LVL",-,$7.69,20.00%,,$9.23,lf,HardPine,LVL Lumber,,,
,,,"1-3/4x9-1/2"" LVL",-,$7.62,20.00%,,$9.15,lf,HardPine,LVL Lumber,,,
,,,"1-3/4x11-7/8"" LVL",-,$9.52,20.00%,,$11.42,lf,HardPine,LVL Lumber,,,
,,,"1-3/4x14"" LVL",-,$12.98,20.00%,,$15.58,lf,HardPine,LVL Lumber,,,
,,,"1-3/4x16"" LVL",-,$13.75,20.00%,,$16.50,lf,HardPine,LVL Lumber,,,
,,,"1-3/4x18"" LVL",-,$17.99,20.00%,,$21.58,lf,HardPine,LVL Lumber,,,
,,,"1-3/4x20"" LVL",-,$18.02,15.00%,,$20.72,lf,Concord,LVL Lumber,,,
,,,"1-3/4x24"" LVL",-,$26.47,20.00%,,$31.76,lf,HardPine,LVL Lumber,,,
,,,"3-1/2x9-1/2"" LVL",-,$17.81,15.00%,,$20.48,lf,Concord,LVL Lumber,,,
,,,"3-1/2x11-7/8"" LVL",-,$22.07,15.00%,,$25.38,lf,Concord,LVL Lumber,,,
,,,"3-1/2x14"" LVL",-,$26.11,15.00%,,$30.03,lf,Concord,LVL Lumber,,,
,,,"3-1/2x18"" LVL",-,$33.57,15.00%,,$38.61,lf,Concord,LVL Lumber,Fixed price,,
,,,"5-1/4x9-1/2"" LVL",-,$27.48,15.00%,,$31.60,lf,Concord,LVL Lumber,,,
,,,"5-1/4x11-7/8"" LVL",-,$35.25,15.00%,,$40.54,lf,Concord,LVL Lumber,,,
,,,"5-1/4x14"" LVL",-,$43.15,15.00%,,$49.62,lf,Concord,LVL Lumber,,,
,,,"7x11-7/8"" LVL",-,$45.19,15.00%,,$51.97,lf,Concord,LVL Lumber,,,
,VERSA COLUMN / 1.8E PSL COLUMNS,PSL Columns,"3-1/2x3-1/2"" Versa Column",-,$7.59,15.00%,,$8.73,lf,Concord,Versa Lumber,,,
,,,"3-1/2x5-1/4"" Versa Column",-,$10.16,15.00%,,$11.68,lf,Concord,Versa Lumber,,,
,,,"3-1/2x7"" Versa Column",-,$13.33,15.00%,,$15.33,lf,Concord,Versa Lumber,,,
,,,"5-1/4x5-1/4"" Versa Column",-,$19.49,15.00%,,$22.41,lf,Concord,Versa Lumber,288,,
,,,"5-1/4x7"" Versa Column",-,$26.26,15.00%,,$30.20,lf,Concord,Versa Lumber,,,
,,,"7x7"" Versa Column",-,$43.00,15.00%,,$49.45,lf,Concord,Versa Lumber,,,
,I-JOIST,Nordic Structures,"2-1/2x11-7/8"" NI-60 I-Joists",-,$4.09,20.00%,,$4.91,lf,HardPine,NI-60 I-Joists,,,
,,,"2-1/2x14"" NI-60 I-Joists",-,$4.48,20.00%,,$5.37,lf,HardPine,NI-60 I-Joists,,,
,,,"2-1/2x16"" NI-60 I-Joists",-,$4.95,20.00%,,$5.94,lf,HardPine,NI-60 I-Joists,,,
,,AJS I-Joists,"2-1/2x9-1/2"" AJS 20 (HP)",-,$4.63,20.00%,,$5.56,lf,HardPine,AJS I-Joists,"equivalencia de BCI o TJI
Pregunatrle a Jon si puede conseguir de precio BCI o TJI ",,
,,,"2-1/2x11-7/8"" AJS 20 (HP)",-,$4.90,20.00%,,$5.87,lf,HardPine,AJS I-Joists,,,
,,,"2-1/2x16"" AJS 20 (HP)",-,$5.93,20.00%,,$7.11,lf,HardPine,AJS I-Joists,,,
,,,"2-1/2x9-1/2"" AJS 20 (Conc)",-,$4.21,15.00%,,$4.84,lf,Concord,AJS I-Joists,,,
,,,"2-1/2x11-7/8"" AJS 20 (Conc)",-,$4.45,15.00%,,$5.12,lf,Concord,AJS I-Joists,,,
,,,"2-1/2x14"" AJS 20 (Conc)",-,$5.07,15.00%,,$5.83,lf,Concord,AJS I-Joists,,,
,,,"2-1/2x16"" AJS 20 (Conc)",-,$5.39,15.00%,,$6.20,lf,Concord,AJS I-Joists,,,
